start the A market get data program at 21:24:49
http://quotes.money.163.com/hs/service/diyrank.php?host=http%3A%2F%2Fquotes.money.163.com%2Fhs%2Fservice%2Fdiyrank.php&page=0&query=STYPE%3AEQA&fields=NO%2CNAME%2CSYMBOL%2CVOLUME&sort=SYMBOL&order=asc&count=5000&type=query      SYMBOL    NAME  DATE     VOLUME
0     000001    平安银行  None   47616998
1     000002   万  科ａ  None   63143543
2     000004    国农科技  None     462800
3     000005    世纪星源  None    3032665
4     000006    深振业ａ  None    3832187
5     000007     全新好  None    5974450
6     000008    神州高铁  None   22785931
7     000009    中国宝安  None   10098450
8     000010   _st美丽  None    1209400
9     000011    深物业a  None    1493500
10    000012   南  玻ａ  None    4473876
11    000014    沙河股份  None    1450802
12    000016    深康佳ａ  None    8155655
13    000017    深中华a  None    8538414
14    000018    神城a退  None       3800
15    000019    深粮控股  None    2177866
16    000020    深华发ａ  None     474500
17    000021     深科技  None   17423275
18    000022    深赤湾ａ  None          0
19    000023    深天地ａ  None     914550
20    000025   特  力ａ  None    2047879
21    000026    飞亚达ａ  None    3728901
22    000027    深圳能源  None    5909184
23    000028    国药一致  None    2421432
24    000029    深深房ａ  None          0
25    000030    富奥股份  None    2096163
26    000031     大悦城  None    8753792
27    000032    深桑达ａ  None    1528648
28    000034    神州数码  None   15006614
29    000035    中国天楹  None   16859690
30    000036    华联控股  None    5374629
31    000037    深南电a  None    1848410
32    000038     深大通  None   23665683
33    000039    中集集团  None    3167911
34    000040    东旭蓝天  None   89934186
35    000042    中洲控股  None    1280800
36    000043    中航善达  None   14444208
37    000045    深纺织ａ  None    1921428
38    000046    泛海控股  None    5675853
39    000048     康达尔  None     444259
40    000049    德赛电池  None    7701535
41    000050    深天马ａ  None   21698368
42    000055    方大集团  None    7416066
43    000056    皇庭国际  None   12002820
44    000058   深 赛 格  None   15014104
45    000059    华锦股份  None    6360230
46    000060    中金岭南  None   10360525
47    000061   农 产 品  None    9090057
48    000062    深圳华强  None    2833436
49    000063    中兴通讯  None   42622296
50    000065    北方国际  None    1543328
